id	parent	source	locator	kind	obligation
P-L3-VISITS	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-VISITS	claim	Positive exploratory probability and infinite recurrent trials imply relevant infinite visits.
P-L3-IRRELEVANT	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-IRRELEVANT	claim	States never explored have zero counterfactual reach for both players, not just actual reach.
P-L3-ERROR	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-ERROR	claim	Approximate-equilibrium policy value consistency is not coordinatewise exact-equilibrium value error.
P-T2-FROM-L3	RL-THEOREM2	supp	p21 appendix G Theorem 2 proof; T2-FROM-L3	claim	Derive theorem from Lemma 3 with separate N,T,depth and an explicit convergence mode.
P-T3-BASE	SAFE-THEOREM3	supp	p21-22 appendix G Theorem 3 proof; T3-BASE	claim	Depth-one solver base retains k1/sqrt(T), even when leaf prediction error is zero.
P-T3-POLICY-MIX	SAFE-THEOREM3	supp	p21-22 appendix G Theorem 3 proof; T3-POLICY-MIX	claim	Single random iteration is equivalent to correctly reach-weighted average for required payoff law.
P-T3-RECURSE	SAFE-THEOREM3	supp	p21-22 appendix G Theorem 3 proof; T3-RECURSE	claim	Counterfactual oracle error propagates through recursion using [16] Theorem 2 and finite-T terms.
P-T3-CONCLUSION	SAFE-THEOREM3	supp	p21-22 appendix G Theorem 3 proof; T3-CONCLUSION	claim	Printed delta*C1+delta*C2/sqrt(T) differs from the independently retained iteration term.
P-T3-REPAIR	SAFE-THEOREM3	supp	p21-22 appendix G Theorem 3 proof; T3-REPAIR	claim	Separate candidate A_d*delta+B_d/sqrt(T); derive coefficients from a verified solver recurrence later.
P-H-INIT	VAR-FLOP	supp	p22 appendix H unnumbered displays; H-INIT	equation	FP initializes pi0 uniformly and average pi0.
P-H-BR	VAR-FLOP	supp	p22 appendix H unnumbered displays; H-BR	equation	FP current iterate is best response to opponents average.
P-H-AVERAGE	VAR-FLOP	supp	p22 appendix H unnumbered displays; H-AVERAGE	equation	FP averaging weights (t-1)/t and 1/t, with domain t>=1.
P-H-OPTIMISM	VAR-FLOP	supp	p22 appendix H unnumbered displays; H-OPTIMISM	equation	FLOP opponent prediction t/(t+2)*average(t-1)+2/(t+2)*current(t-1).
P-H-LINEAR	VAR-FLOP	supp	p22 appendix H unnumbered displays; H-LINEAR	equation	Printed FLOP average (t-1)/(t+1)*average(t-1)+2/(t+1)*current(t).
P-T4-GWFP	VAR-THEOREM4	supp	p22 appendix H Theorem 4 proof; T4-GWFP	claim	Check the precise GWFP definition and convergence theorem of [38].
P-T4-ERROR	VAR-THEOREM4	supp	p22 appendix H Theorem 4 proof; T4-ERROR	claim	Audit epsilon<2M/(t+2), definition of M and both payoff perturbation terms.
P-T4-STEP	VAR-THEOREM4	supp	p22 appendix H Theorem 4 proof; T4-STEP	claim	Printed alpha_t=2/t versus preceding update coefficient 2/(t+1); audit indexing.
P-T4-SUMS	VAR-THEOREM4	supp	p22 appendix H Theorem 4 proof; T4-SUMS	claim	Positive steps tend to zero, diverging step sum, vanishing BR errors and perturbation conditions.
P-I-CFRD-BOUND	SEARCH-ERROR	supp	p22 appendix I; I-CFRD-BOUND	claim	Printed depth-limited CFR-D bound k1*delta+k2/sqrt(T), cited to [40].
P-AVG-QUERY	VAR-CFRAVG	supp	p22-23 appendix I; AVG-QUERY	definition	Leaf PBS uses average rather than current policy.
P-AVG-SAMPLE	VAR-CFRAVG	supp	p22-23 appendix I; AVG-SAMPLE	definition	Sampling path follows current policy while stored/query PBS follows average.
P-AVG-EXACT	VAR-CFRAVG	supp	p22-23 appendix I; AVG-EXACT	definition	Continuation subgames solved to exact Nash with T-prime tending to infinity.
P-AVG-REPLACE	VAR-CFRAVG	supp	p22-23 appendix I; AVG-REPLACE	definition	Replace continuation root law by average trunk policy while preserving reach/value consistency.
P-MODIFIED-DIFF	VAR-MODIFIED	supp	p24 appendix I unnumbered display; MODIFIED-DIFF	equation	Leaf target t*vhat(beta_average_t)-(t-1)*vhat(beta_average_tminus1).
P-MODIFIED-LINEARITY	VAR-MODIFIED	supp	p24 appendix I unnumbered display; MODIFIED-LINEARITY	equation	Motivation uses policy/value linearity; behavioral mixture needs own-reach weighting.
P-MODIFIED-SPECIAL	VAR-MODIFIED	supp	p24 appendix I unnumbered display; MODIFIED-SPECIAL	equation	Conditional correctness when fixed-history continuation values remain unchanged, including terminal case.
P-MODIFIED-GENERAL	VAR-MODIFIED	supp	p24 appendix I unnumbered display; MODIFIED-GENERAL	equation	General neural-oracle guarantee remains a separate proof/counterexample obligation.
P-T5-TRUNK	VAR-THEOREM5	supp	p25 appendix I.1 proof; T5-TRUNK	claim	Trunk immediate regret O(sqrt(T)) and finite aggregate bound.
P-T5-OFFTRUNK	VAR-THEOREM5	supp	p25 appendix I.1 proof; T5-OFFTRUNK	claim	Claim cumulative immediate regrets outside trunk are nonpositive.
P-T5-BASE	VAR-THEOREM5	supp	p25 appendix I.1 proof; T5-BASE	claim	First exact solve needs counterfactual best response even at off-path information states.
P-T5-INDUCTION	VAR-THEOREM5	supp	p25 appendix I.1 proof; T5-INDUCTION	claim	Induction using equations 13-18 needs consistency between average-root solve and current values.
P-T5-FULL-BOUND	VAR-THEOREM5	supp	p25 appendix I.1 proof; T5-FULL-BOUND	claim	Convert local/trunk regrets to total regret and epsilon-Nash with explicit constants.
P-WARM-REGRETS	VAR-WARMSTART	supp	p25 appendix J; WARM-REGRETS	definition	Initialize cumulative regrets from best response times 15.
P-WARM-AVERAGE	VAR-WARMSTART	supp	p25 appendix J; WARM-AVERAGE	definition	Give predicted average policy pseudocount 15; validate warm offset versus T.
P-WARM-CITATION	VAR-WARMSTART	supp	p25 appendix J; WARM-CITATION	definition	Exact best response used here versus soft best response in cited [10].
P-HUNL-BLINDS	GAME-HUNL	supp	p14 appendix C.1; HUNL-BLINDS	setting	Blinds 50/100 and two-player chip accounting.
P-HUNL-STACKS	GAME-HUNL	supp	p14 appendix C.1; HUNL-STACKS	setting	Training stacks 5000..25000 and test stack 20000.
P-HUNL-ROUNDS	GAME-HUNL	supp	p16 appendix C.1; HUNL-ROUNDS	setting	Four betting rounds and public-card reveal schedule.
P-HUNL-ACTIONS	GAME-HUNL	supp	p16 appendix C.1; HUNL-ACTIONS	setting	Fold/check/call/bet/raise/all-in legality and minimum raise.
P-HUNL-SHOWDOWN	GAME-HUNL	supp	p16 appendix C.1; HUNL-SHOWDOWN	setting	Hand ranking, showdown, ties and payoff scale.
P-TEH-ROUNDS	GAME-TEH	supp	p16 appendix C.2; TEH-ROUNDS	setting	Automatically reach two-round endgame with five public cards.
P-TEH-POT	GAME-TEH	supp	p16 appendix C.2; TEH-POT	setting	Initial pot 1000 and stack range 5000..50000.
P-TEH-ACTIONS	GAME-TEH	supp	p16 appendix C.2; TEH-ACTIONS	setting	Raise options, +/-0.1-pot perturbations and legal clipping.
P-TEH-EVAL	GAME-TEH	supp	p16 appendix C.2; TEH-EVAL	setting	Fixed public board and evaluation initial-belief conditions.
P-LD-DICE	GAME-LIARS	supp	p16 appendix C.3; LD-DICE	setting	Private dice count d, faces f and chance distribution.
P-LD-WILD	GAME-LIARS	supp	p16 appendix C.3; LD-WILD	setting	Highest face is wild, including counting a wild-face bid.
P-LD-BIDS	GAME-LIARS	supp	p16 appendix C.3; LD-BIDS	setting	Legal increasing bid sequence and bid encoding.
P-LD-CALL	GAME-LIARS	supp	p16 appendix C.3; LD-CALL	setting	Call action, true/false bid terminal payoff and winner.
P-D-EIGHT	GAME-ABSTRACTION	supp	p16-17 appendix D; D-EIGHT	setting	Supplement maximum eight actions versus main maximum nine.
P-D-PUBLIC	GAME-ABSTRACTION	supp	p16-17 appendix D; D-PUBLIC	setting	Use public state and both player type-belief inputs; no card information abstraction.
P-D-ROOTS	GAME-ABSTRACTION	supp	p16-17 appendix D; D-ROOTS	setting	Self-play-generated PBS versus random-root sampling used elsewhere.
P-D-EXPLORE	GAME-ABSTRACTION	supp	p16-17 appendix D; D-EXPLORE	setting	One-player exploration epsilon=.25.
P-D-ALLIN	GAME-ABSTRACTION	supp	p16-17 appendix D; D-ALLIN	setting	Learn all-in outcomes rather than silently substitute full-card enumeration.
P-D-DEPTH	GAME-ABSTRACTION	supp	p16-17 appendix D; D-DEPTH	setting	Search to end of current betting round with special depth conventions.
P-D-COMPUTE	GAME-ABSTRACTION	supp	p16-17 appendix D; D-COMPUTE	setting	Single-CPU solver, network evaluation layer count and shared network across rounds.
P-E-INPUT-POKER	NN-VALUE	supp	p18 appendix E; E-INPUT-POKER	setting	Poker dimensions 1+1+1+5+2*1326 and exact normalization/encoding.
P-E-INPUT-DICE	NN-VALUE	supp	p18 appendix E; E-INPUT-DICE	setting	Printed dice input dimension 1+1+d*f+2*f^d; compare official action dimension 2*d*f+1.
P-E-HIDDEN-DICE	NN-VALUE	supp	p18 appendix E; E-HIDDEN-DICE	setting	Dice two hidden layers of width 256.
P-E-HIDDEN-POKER	NN-VALUE	supp	p18 appendix E; E-HIDDEN-POKER	setting	Poker six hidden layers of width 1536.
P-E-ACTIVATION	NN-VALUE	supp	p18 appendix E; E-ACTIVATION	setting	GeLU and LayerNorm definitions, feature/order and shape contracts.
P-E-POLICY	NN-POLICY	supp	p18 appendix E; E-POLICY	setting	Policy network used only for poker experiments; exact output/legality semantics.
P-E-REPLAY-CAPACITY	NN-REPLAY	supp	p18 appendix E; E-REPLAY-CAPACITY	setting	Poker capacity 12 million, uniform/circular replay; compare released dice configuration.
P-E-REPLAY-QUANT	NN-REPLAY	supp	p18 appendix E; E-REPLAY-QUANT	setting	Policy-data quantization and restoration errors.
P-E-REPLAY-EVICT	NN-REPLAY	supp	p18 appendix E; E-REPLAY-EVICT	setting	Remove half of data after twenty epochs; boundary/scheduling semantics.
P-E-POKER-LR	NN-OPTIMIZER	supp	p18 appendix E; E-POKER-LR	setting	Poker Adam 3e-4, halve every 800 epochs.
P-E-POKER-EPOCH	NN-OPTIMIZER	supp	p18 appendix E; E-POKER-EPOCH	setting	Poker 2560000 examples/epoch and batch 1024.
P-E-TEH-LR	NN-OPTIMIZER	supp	p18 appendix E; E-TEH-LR	setting	TEH 4e-4, halve every 100 epochs, 300 epochs.
P-E-DICE-LR	NN-OPTIMIZER	supp	p18 appendix E; E-DICE-LR	setting	Dice Adam 3e-4, halve every 400 epochs.
P-E-DICE-EPOCH	NN-OPTIMIZER	supp	p18 appendix E; E-DICE-EPOCH	setting	Dice 25600 examples/epoch, batch 512 and 1000 epochs; YAML max_epochs=10000 is distinct.
P-E-POKER-HARDWARE	NN-CONCURRENT	supp	p18 appendix E; E-POKER-HARDWARE	setting	90 DGX machines with 8 GPUs and CPU/data generation configuration; empirical setup.
P-E-DICE-HARDWARE	NN-CONCURRENT	supp	p18 appendix E; E-DICE-HARDWARE	setting	One GPU and 60 CPU generation threads; compare released CUDA assertion.
P-E-HUNL-LENGTH	EVAL-REPRO	supp	p18-19 appendix E.1; E-HUNL-LENGTH	setting	Poker training 1750 epochs and selected checkpoints.
P-E-DICE-ITERS	EVAL-REPRO	supp	p18-19 appendix E.1; E-DICE-ITERS	setting	Dice solves use 1024 iterations; last three checkpoints averaged.
P-E-HUMAN	EVAL-REPRO	supp	p18-19 appendix E.1; E-HUMAN	setting	7500 human games and opponent/evaluation protocol.
P-E-TIMING	EVAL-REPRO	supp	p18-19 appendix E.1; E-TIMING	setting	Five-second action limit, preflop caching and actual timing observations.
P-E-AIVAT	EVAL-REPRO	supp	p18-19 appendix E.1; E-AIVAT	setting	AIVAT baseline/variance reduction and raw versus adjusted score.
P-E-ERRORBARS	EVAL-REPRO	supp	p18-19 appendix E.1; E-ERRORBARS	setting	Supplement calls errors standard error; main Table 1 calls standard deviation.
P-FIG4	EVAL-REPRO	supp	p23 appendix I FIG4	experiment	Dice CFR variants: plotted curves, axes, game/depth/iteration settings.
P-FIG5	EVAL-REPRO	supp	p23 appendix I FIG5	experiment	TEH variants: plotted curves, axes and exact versus approximate value conditions.
P-FIG6	EVAL-REPRO	supp	p24 appendix I FIG6	experiment	Oracle and self-play variant comparisons; no inference of general convergence from curves.
P-I-EMPIRICAL	EVAL-REPRO	supp	p24 appendix I I-EMPIRICAL	experiment	Current/average-input experiments, unsuccessful alternative and HUNL observations.
P-REF-01	SCOPE-INTRO	main	p10 reference [1]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-02	SCOPE-INTRO	main	p10 reference [2]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-03	SCOPE-INTRO	main	p10 reference [3]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-04	SCOPE-INTRO	main	p10 reference [4]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-05	SCOPE-INTRO	main	p10 reference [5]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-06	SCOPE-INTRO	main	p10 reference [6]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-07	SCOPE-INTRO	main	p10 reference [7]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-08	SCOPE-INTRO	main	p10 reference [8]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-09	SCOPE-INTRO	main	p10 reference [9]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-10	SCOPE-INTRO	main	p10 reference [10]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-11	SCOPE-INTRO	main	p10 reference [11]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-12	SCOPE-INTRO	main	p10 reference [12]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-13	SCOPE-INTRO	main	p10 reference [13]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-14	SCOPE-INTRO	main	p11 reference [14]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-15	SCOPE-INTRO	main	p11 reference [15]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-16	SCOPE-INTRO	main	p11 reference [16]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-17	SCOPE-INTRO	main	p11 reference [17]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-18	SCOPE-INTRO	main	p11 reference [18]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-19	SCOPE-INTRO	main	p11 reference [19]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-20	SCOPE-INTRO	main	p11 reference [20]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-21	SCOPE-INTRO	main	p11 reference [21]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-22	SCOPE-INTRO	main	p11 reference [22]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-23	SCOPE-INTRO	main	p11 reference [23]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-24	SCOPE-INTRO	main	p11 reference [24]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-25	SCOPE-INTRO	main	p11 reference [25]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-26	SCOPE-INTRO	main	p11 reference [26]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-27	SCOPE-INTRO	main	p11 reference [27]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-28	SCOPE-INTRO	main	p11 reference [28]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-29	SCOPE-INTRO	main	p11 reference [29]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-30	SCOPE-INTRO	main	p11 reference [30]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-31	SCOPE-INTRO	main	p12 reference [31]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-32	SCOPE-INTRO	main	p12 reference [32]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-33	SCOPE-INTRO	main	p12 reference [33]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-34	SCOPE-INTRO	main	p12 reference [34]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-35	SCOPE-INTRO	main	p12 reference [35]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-36	SCOPE-INTRO	main	p12 reference [36]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-37	SCOPE-INTRO	main	p12 reference [37]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-38	SCOPE-INTRO	main	p12 reference [38]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-39	SCOPE-INTRO	main	p12 reference [39]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-40	SCOPE-INTRO	main	p12 reference [40]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-41	SCOPE-INTRO	main	p12 reference [41]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-42	SCOPE-INTRO	main	p12 reference [42]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-43	SCOPE-INTRO	main	p12 reference [43]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-44	SCOPE-INTRO	main	p12 reference [44]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-45	SCOPE-INTRO	main	p12 reference [45]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-46	SCOPE-INTRO	main	p12 reference [46]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-47	SCOPE-INTRO	main	p12 reference [47]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-48	SCOPE-INTRO	main	p12 reference [48]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-49	SCOPE-INTRO	main	p12 reference [49]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-50	SCOPE-INTRO	main	p13 reference [50]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-51	SCOPE-INTRO	main	p13 reference [51]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-52	SCOPE-INTRO	main	p13 reference [52]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-53	SCOPE-INTRO	main	p13 reference [53]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-54	SCOPE-INTRO	main	p13 reference [54]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-55	SCOPE-INTRO	main	p13 reference [55]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-56	SCOPE-INTRO	main	p13 reference [56]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-57	SCOPE-INTRO	main	p13 reference [57]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-58	SCOPE-INTRO	main	p13 reference [58]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-59	SCOPE-INTRO	main	p13 reference [59]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-60	SCOPE-INTRO	main	p13 reference [60]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-REF-61	SCOPE-INTRO	main	p13 reference [61]	context	Index cited work; proof-use dependencies are separately listed in M01-B.md and P-DEP rows.
P-DEP-05	VAR-FLOP	main	main p6; supp H; reference [5]	dependency	Fictitious play definition and convergence domain; asymptotic rate not assumed.
P-DEP-10	VAR-WARMSTART	main	supp J; reference [10]	dependency	Warm-start regret guarantees; distinguish soft/exact best response and weights.
P-DEP-16	SEARCH-ERROR	main	main p6; supp G; reference [16]	dependency	CFR-D/decomposition Theorem 2; finite perfect-recall game and continuation regret hypotheses.
P-DEP-28	CFR-REGRET	main	main p6; reference [28]	dependency	Smoothing-technique solver alternative; not the regret-matching theorem and not automatically used by ReBeL.
P-DEP-35	VAR-WEIGHTED	main	main p6; reference [35]	dependency	Solver variant update and convergence domain must be checked before reuse.
P-DEP-36	VAR-WEIGHTED	main	main p6; reference [36]	dependency	Solver variant dependency cannot transfer vanilla guarantees without weight proof.
P-DEP-38	VAR-THEOREM4	main	supp H; reference [38]	dependency	GWFP definition, vanishing perturbations/step sizes and two-player zero-sum convergence.
P-DEP-40	SEARCH-ERROR	main	supp I; reference [40]	dependency	DeepStack depth-limited approximation bound; separately transfer counterfactual-value conventions.
P-DEP-45	PBS-ENCODING	main	main footnote 5; reference [45]	dependency	Sufficient plan-time statistics for decentralized POMDPs; distinguish that source domain from two-player zero-sum use.
P-DEP-52	PBS-ENCODING	main	main footnote 5; reference [52]	dependency	Alternative public-belief compression result; preserve chance correlation and support.
P-DEP-61	CFR-NASH	main	main p6; supp I.1; reference [61]	dependency	Counterfactual regret decomposition and average-strategy Nash conversion for finite perfect-recall games.
P-DEP-02	PUBLIC-STATE	main	main section 3; reference [2]	dependency	Common knowledge interpretation; public observations need not exhaust all common knowledge.
P-DEP-03	NN-VALUE	main	main section 7; reference [3]	dependency	LayerNorm normalization/epsilon convention and concrete implementation contract.
P-DEP-13	VAR-WEIGHTED	main	main section 7; supplement H; reference [13]	dependency	Discounted regret minimization and linear weighting; variant-specific bound.
P-DEP-17	EVAL-METRIC	main	supplement E.1; reference [17]	dependency	AIVAT unbiasedness/variance assumptions and actual evaluation estimator.
P-DEP-27	NN-VALUE	main	main section 7; reference [27]	dependency	GeLU mathematical function versus concrete torch approximation.
P-DEP-32	NN-OPTIMIZER	main	main section 7; reference [32]	dependency	Adam moment/bias-correction update and implementation parameter convention.
P-DEP-34	FOUND-MODEL	main	main section 3; reference [34]	dependency	FOSG model definitions and observation/perfect-recall assumptions.
P-DEP-48	VAL-THEOREM1	main	main section 4; reference [48]	dependency	Convex-analysis supergradient convention, relative domain and boundary existence.
P-VERSION-1	VAL-THEOREM1	arxiv	v2 pp5,19-20	audit	Theorem 1 and its normalized-cone proof unchanged from publication; DIAG-R3-Q remains separate.
P-VERSION-2	SAFE-THEOREM3	arxiv	v2 pp8,21-22	audit	Theorem 3 has delta on both terms in main and supplement; no version repair found.
P-VERSION-3	RL-THEOREM2	arxiv	v2 pp7,21	audit	Theorem 2 main/restatement distinction exists in both editions.
P-VERSION-4	VAR-THEOREM4	arxiv	v2 p22	audit	FLOP coefficient/index discrepancy exists in both editions.
P-VERSION-5	SCOPE-INTRO	arxiv	v2 pp1-25	audit	Full edition comparison recorded in sources.json; stamp, reflow and glyph differences are not mathematical repairs.
